id;bezeichnung;preis;einheit
estrich_zusatz_fasern;Einbringung Polyprophylenfasern;9,99;je m²
estrich_zusatz_20;Zulage Schnellbinder 18-20 Tage;9,99;je m²
estrich_zusatz_14;Zulage Schnellbinder 10-14 Tage;9,99;je m²
estrich_zusatz_7;Zulage Schnellbinder 5-7 Tage;9,99;je m²
estrich_zusatz_xtreme;Retanol XTREME 3-7 Tage;9,99;je m²
estrich_zusatz_xthinn;Retanol Xthinn;9,99;je m²
thermo_10;ThermoWhite® WD 70 R/N bis 10 m³;9,99;je m²
thermo_11;ThermoWhite® WD 70 R/N ab 11 m³ jeder weitere m³;9,99;je m²
thermo_baustelleneinrichtung;Baustelleneinrichtung Thermowhite MixMobil;9,99;pauschal
hkv_2;HKV-D 2;9,99;je Stk.
hkv_3;HKV-D 3;9,99;je Stk.
hkv_4;HKV-D 4;9,99;je Stk.
hkv_5;HKV-D 5;9,99;je Stk.
hkv_6;HKV-D 6;9,99;je Stk.
hkv_7;HKV-D 7;9,99;je Stk.
hkv_8;HKV-D 8;9,99;je Stk.
hkv_9;HKV-D 9;9,99;je Stk.
hkv_10;HKV-D 10;9,99;je Stk.
hkv_11;HKV-D 11;9,99;je Stk.
hkv_12;HKV-D 12;9,99;je Stk.
hkv_schrank_unterputz_3;Verteilerschrank-Unterputz für 2 - 3 HK;9,99;je Stk.
hkv_schrank_unterputz_5;Verteilerschrank-Unterputz für 4 – 5 HK;9,99;je Stk.
hkv_schrank_unterputz_8;Verteilerschrank-Unterputz für 6 – 8 HK;9,99;je Stk.
hkv_schrank_unterputz_11;Verteilerschrank-Unterputz für 9 – 11 HK;9,99;je Stk.
hkv_schrank_unterputz_12;Verteilerschrank-Unterputz für 12 HK;9,99;je Stk.
hkv_schrank_aufputz_3;Verteilerschrank-Aufputz für 2 - 3 HK;9,99;je Stk.
hkv_schrank_aufputz_5;Verteilerschrank-Aufputz für 4 – 5 HK;9,99;je Stk.
hkv_schrank_aufputz_8;Verteilerschrank-Aufputz für 6 – 8 HK;9,99;je Stk.
hkv_schrank_aufputz_11;Verteilerschrank-Aufputz für 9 – 11 HK;9,99;je Stk.
hkv_schrank_aufputz_12;Verteilerschrank-Aufputz für 12 HK;9,99;je Stk.
klemmleiste_6;Regelklemmleiste 230 V + 24 V von bis zu 6 Zonen - Verbindung von bis zu max. 12 Stellantrieben, Hausmarke;9,99;je Stk.
klemmleiste_10;Regelklemmleiste 230 V von bis zu 10 Zonen - Verbindung von bis zu max. 18 Stellantrieben, Hausmarke;9,99;je Stk.
stellradantrieb;Stellantrieb Premium;9,99;je Stk.
thermostat_analog;RAUMTHERMOSTAT 230 V, HAUSMARKE - Aufputz / Analog;9,99;je Stk.
thermostat_lcd;RAUMTHERMOSTAT 230 V, HAUSMARKE - LCD-Display Standard;9,99;je Stk.
